participant_id	ses	variable	value	local
A00018030	TRT	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-TRT/anat/sub-A00018030_ses-TRT_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-TRT/anat/sub-A00018030_ses-TRT_T1w.json
A00018030	TRT	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-TRT/anat/sub-A00018030_ses-TRT_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-TRT/anat/sub-A00018030_ses-TRT_T1w.nii.gz
A00018030	TRT	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-TRT/func/sub-A00018030_ses-TRT_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-TRT/func/sub-A00018030_ses-TRT_task-rest_acq-645_bold.nii.gz
A00018030	TRT	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-TRT/func/sub-A00018030_ses-TRT_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-TRT/func/sub-A00018030_ses-TRT_task-rest_acq-645_bold.json
A00018030	TRT	task-rest_acq-645_physio	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-TRT/func/sub-A00018030_ses-TRT_task-rest_acq-645_physio.tsv.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-TRT/func/sub-A00018030_ses-TRT_task-rest_acq-645_physio.tsv.gz
A00018030	TRT	task-rest_acq-645_physio_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-TRT/func/sub-A00018030_ses-TRT_task-rest_acq-645_physio.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-TRT/func/sub-A00018030_ses-TRT_task-rest_acq-645_physio.json
A00018030	FLU1	T1w_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-FLU1/anat/sub-A00018030_ses-FLU1_T1w.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-FLU1/anat/sub-A00018030_ses-FLU1_T1w.json
A00018030	FLU1	T1w	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-FLU1/anat/sub-A00018030_ses-FLU1_T1w.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-FLU1/anat/sub-A00018030_ses-FLU1_T1w.nii.gz
A00018030	FLU1	task-rest_acq-645	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-FLU1/func/sub-A00018030_ses-FLU1_task-rest_acq-645_bold.nii.gz	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-FLU1/func/sub-A00018030_ses-FLU1_task-rest_acq-645_bold.nii.gz
A00018030	FLU1	task-rest_acq-645_meta	s3://fcp-indi/data/Projects/RocklandSample/RawDataBIDSLatest/sub-A00018030/ses-FLU1/func/sub-A00018030_ses-FLU1_task-rest_acq-645_bold.json	/research/cisc1/projects/critchley_nkiphysio/rawdata/sub-A00018030/ses-FLU1/func/sub-A00018030_ses-FLU1_task-rest_acq-645_bold.json
